Tue Dec 13 14:27:37 2022 Epoch 86, lr: 0.0000624, val loss: 69.92861, acc: 77.93000
Tue Dec 13 14:27:49 2022 Epoch 75, lr: 0.0000706, val loss: 88.08098, acc: 69.99000
Tue Dec 13 14:27:56 2022 Epoch 87, lr: 0.0000617, val loss: 71.62612, acc: 77.47000
Tue Dec 13 14:28:11 2022 Epoch 76, lr: 0.0000699, val loss: 87.43194, acc: 70.17000
Tue Dec 13 14:28:14 2022 Epoch 88, lr: 0.0000609, val loss: 71.44924, acc: 77.80000
Tue Dec 13 14:28:33 2022 Epoch 77, lr: 0.0000691, val loss: 85.63372, acc: 70.65000
Tue Dec 13 14:28:33 2022 Epoch 89, lr: 0.0000601, val loss: 71.36149, acc: 77.39000
Tue Dec 13 14:28:52 2022 Epoch 90, lr: 0.0000594, val loss: 69.62527, acc: 77.99000
Tue Dec 13 14:28:55 2022 Epoch 78, lr: 0.0000684, val loss: 89.14426, acc: 69.58000
Tue Dec 13 14:29:12 2022 Epoch 91, lr: 0.0000586, val loss: 71.85179, acc: 77.48000
Tue Dec 13 14:29:17 2022 Epoch 79, lr: 0.0000677, val loss: 85.81123, acc: 70.89000
Tue Dec 13 14:29:31 2022 Epoch 92, lr: 0.0000578, val loss: 71.08702, acc: 77.53000
Tue Dec 13 14:29:38 2022 Epoch 80, lr: 0.0000669, val loss: 85.56477, acc: 70.39000
Tue Dec 13 14:29:50 2022 Epoch 93, lr: 0.0000570, val loss: 72.13605, acc: 77.86000
Tue Dec 13 14:29:59 2022 Epoch 81, lr: 0.0000662, val loss: 86.02611, acc: 70.69000
Tue Dec 13 14:30:08 2022 Epoch 94, lr: 0.0000563, val loss: 71.82995, acc: 78.05000
Tue Dec 13 14:30:22 2022 Epoch 82, lr: 0.0000655, val loss: 87.73004, acc: 70.61000
Tue Dec 13 14:30:27 2022 Epoch 95, lr: 0.0000555, val loss: 70.07434, acc: 78.54000
Tue Dec 13 14:30:43 2022 Epoch 83, lr: 0.0000647, val loss: 86.26093, acc: 70.69000
Tue Dec 13 14:30:46 2022 Epoch 96, lr: 0.0000547, val loss: 72.17501, acc: 77.87000
Tue Dec 13 14:31:05 2022 Epoch 84, lr: 0.0000639, val loss: 84.75757, acc: 71.18000
Tue Dec 13 14:31:06 2022 Epoch 97, lr: 0.0000539, val loss: 71.08914, acc: 78.34000
Tue Dec 13 14:31:25 2022 Epoch 98, lr: 0.0000531, val loss: 71.84778, acc: 78.06000
Tue Dec 13 14:31:27 2022 Epoch 85, lr: 0.0000632, val loss: 85.85343, acc: 70.70000
Tue Dec 13 14:31:43 2022 Epoch 99, lr: 0.0000524, val loss: 72.24764, acc: 77.90000
Tue Dec 13 14:31:48 2022 Epoch 86, lr: 0.0000624, val loss: 85.14494, acc: 71.21000
Tue Dec 13 14:32:02 2022 Epoch 100, lr: 0.0000516, val loss: 73.09427, acc: 77.69000
Tue Dec 13 14:32:10 2022 Epoch 87, lr: 0.0000617, val loss: 86.08788, acc: 70.74000
Tue Dec 13 14:32:21 2022 Epoch 101, lr: 0.0000508, val loss: 73.78972, acc: 78.05000
